season,team,total_minutes,returning_minutes,continuity_pct
2016,Louisiana Christian,1000,798,0.798
2016,Randolph College,200,130,0.65
2016,Union (TN),200,0,0.0
2016,Paul Quinn,200,0,0.0
2016,Dubuque,200,0,0.0
2016,Fisk,400,181,0.4525
2016,Westminster (MO),200,0,0.0
2016,Howard Payne,600,420,0.7
2016,William Carey,200,175,0.875
2016,Sul Ross State,400,0,0.0
2016,New Mexico Highlands,400,210,0.525
2016,Hawai'i Hilo,400,118,0.295
2016,Northwest Indian,200,0,0.0
2016,Jessup University,200,76,0.38
2016,Life Pacific,400,0,0.0
2016,San Francisco State,200,94,0.47
2016,La Verne,200,190,0.95
2016,Chapman,200,120,0.6
2016,Westminster (PA),200,0,0.0
2016,Toccoa Falls,600,435,0.725
2016,Maine-Fort Kent,200,156,0.78
2016,Boyce,200,0,0.0
2016,St. Andrews,200,117,0.585
2016,Kentucky Christian,200,104,0.52
2016,Bethesda University,596,315,0.5285234899328859
2016,SUNY-Oneonta,200,0,0.0
2016,Oakwood,400,109,0.2725
2016,Eureka,400,228,0.57
2016,Siena Heights,200,48,0.24
2016,Coastal Georgia,200,0,0.0
2016,McMurry,200,37,0.185
2016,Brescia,400,247,0.6175
2016,Bluefield University,200,74,0.37
2016,Menlo,400,246,0.615
2016,Dillard,400,60,0.15
2016,Voorhees,400,0,0.0
2016,Dickinson State (ND),200,85,0.425
2016,Mercy,200,0,0.0
2016,Carolina University,400,286,0.715
2016,LeTourneau,200,16,0.08
2016,Loyola New Orleans,800,381,0.47625
2016,Campbellsville,200,34,0.17
2016,Colorado Christian,200,140,0.7
2016,Western Oregon,200,0,0.0
2016,Truett-McConnell,200,166,0.83
2016,Emerson,200,92,0.46
2016,Tusculum,200,161,0.805
2016,Crowley's Ridge,200,73,0.365
2016,Randall University,400,157,0.3925
2016,North Greenville,400,82,0.205
2016,Florida National,200,91,0.455
2016,Ecclesia,400,185,0.4625
2016,Tabor,200,143,0.715
2016,Texas College,200,68,0.34
2016,Saint Mary's (MN),200,0,0.0
2016,Central State (OH),200,0,0.0
2016,Trinity Christian (IL),400,218,0.545
2016,Gallaudet,200,0,0.0
2016,Auburn-Montgomery,600,261,0.435
2016,Spring Hill,200,140,0.7
2016,Fisher College,200,126,0.63
2016,Edward Waters,200,113,0.565
2016,Texas Wesleyan,200,0,0.0
2016,Kentucky State,200,98,0.49
2016,Ferrum,400,253,0.6325
2016,St. Ambrose,200,0,0.0
2016,Florida Tech,200,145,0.725
2016,Texas Lutheran,400,221,0.5525
2016,Northern New Mexico,200,68,0.34
2016,Hawai'i Pacific,200,66,0.33
2016,Texas A&M-Kingsville,200,117,0.585
2016,Averett,200,128,0.64
2016,Judson University,400,271,0.6775
2016,Central Penn,1200,521,0.43416666666666665
2016,Our Lady Of The Lake,800,332,0.415
2016,Purdue Northwest,200,61,0.305
2016,Pittsburgh-Bradford,200,0,0.0
2016,Arlington Baptist,200,63,0.315
2016,Aquinas,200,152,0.76
2016,Warner University,200,33,0.165
2016,Trinity (FL),200,88,0.44
2016,Merchant Marine Academy,200,200,1.0
2016,Montreat,600,95,0.15833333333333333
2016,Cairn University,200,65,0.325
2016,Chestnut Hill College,200,83,0.415
2016,Harris-Stowe State,600,177,0.295
2016,Ouachita Baptist,200,121,0.605
2016,Bryn Athyn,200,0,0.0
2016,Middle Georgia State,400,187,0.4675
2016,Hardin-Simmons,200,0,0.0
2016,St. Thomas (TX),400,0,0.0
2016,Willamette,200,178,0.89
2016,Tennessee Wesleyan,400,0,0.0
2016,Lincoln (MO),200,0,0.0
2016,Milligan,400,232,0.58
